"8","15","Thursday","11","15","Thursday","Układy elektroniczne Lab.","Piotr Wiącek","208","D10"
"13","50","Wednesday","15","20","Wednesday","Metody Numeryczne Lab.","Tomasz Chwiej","207","D10"
